"CSV Export"
"HPO id","HPO label"
"HP:0002063","Rigidity"
"HP:0002072","Chorea"
"HP:0002171","Gliosis"
"HP:0001608","Abnormality of the voice"
"HP:0000716","Depression"
"HP:0000708","Behavioral abnormality"
"HP:0002529","Neuronal loss in central nervous system"
"HP:0000726","Dementia"
"HP:0100022","Abnormality of movement"
"HP:0001347","Hyperreflexia"
"HP:0000006","Autosomal dominant inheritance"
"HP:0000496","Abnormality of eye movement"
"HP:0001276","Hypertonia"
"HP:0000751","Personality changes"
"HP:0002376","Developmental regression"
"HP:0002067","Bradykinesia"
"HP:0002353","EEG abnormality"
"HP:0002120","Cerebral cortical atrophy"
"Total",
