"CSV Export"
"Disease id","Disease name","Associated genes"
"OMIM:613835","LEBER CONGENITAL AMAUROSIS 8","CRB1 (23418)"
"OMIM:614628","KERATOCONUS 8",""
"OMIM:613829","LEBER CONGENITAL AMAUROSIS 7","CRX (1406)"
"OMIM:161200","NAIL-PATELLA SYNDROME","LMX1B (4010)"
"OMIM:130050","EHLERS-DANLOS SYNDROME, TYPE IV, AUTOSOMAL DOMINANT","COL3A1 (1281)"
"OMIM:204100","LEBER CONGENITAL AMAUROSIS, TYPE II","RPE65 (6121)"
"OMIM:148300","KERATOCONUS 1","VSX1 (30813)"
"OMIM:225400","EHLERS-DANLOS SYNDROME, TYPE VI","PLOD1 (5351)"
"OMIM:614622","KERATOCONUS 5",""
"OMIM:604393","LEBER CONGENITAL AMAUROSIS 4","AIPL1 (23746)"
"OMIM:208050","ARTERIAL TORTUOSITY SYNDROME","SLC2A10 (81031)"
"OMIM:614170","BRITTLE CORNEA SYNDROME 2","PRDM5 (11107)"
"OMIM:204000","LEBER CONGENITAL AMAUROSIS, TYPE I","GUCY2D (3000)"
"OMIM:609438","MENTAL RETARDATION, KERATOCONUS, FEBRILE SEIZURES, AND SINOATRIALBLOCK",""
"OMIM:244600","KERATOCONUS POSTICUS CIRCUMSCRIPTUS",""
"OMIM:230740","GAPO SYNDROME","ANTXR1 (84168)"
"OMIM:614623","KERATOCONUS 6",""
"OMIM:614629","KERATOCONUS 7",""
"OMIM:603165","DERMATITIS, ATOPIC",""
"OMIM:229200","BRITTLE CORNEA SYNDROME","ZNF469 (84627)"
"OMIM:108145","ARTHROGRYPOSIS, DISTAL, TYPE 5","PIEZO2 (63895)"
"OMIM:613826","LEBER CONGENITAL AMAUROSIS 6","RPGRIP1 (57096)"
"OMIM:242150","ICHTHYOSIFORM ERYTHRODERMA, CORNEAL INVOLVEMENT, AND DEAFNESS",""
"Total",,
