"Disease id","Disease name","Associated genes"
"OMIM:613172","CARDIOMYOPATHY, DILATED, 1DD","RBM20 (282996)"
"ORPHANET:758","PSEUDOXANTHOMA ELASTICUM",""
"ORPHANET:100100","THYMIC TUMOR",""
"ORPHANET:906","WISKOTT-ALDRICH SYNDROME",""
"ORPHANET:3286","CATECHOLAMINERGIC POLYMORPHIC VENTRICULAR TACHYCARDIA",""
"ORPHANET:1648","DEMENTIA WITH LEWY BODY",""
"OMIM:601493","CARDIOMYOPATHY, DILATED, 1C","LDB3 (11155)"
"OMIM:202660","PAGOD SYNDROME",""
"OMIM:611777","BRUGADA SYNDROME 2","GPD1L (23171)"
"OMIM:300257","DANON DISEASE","LAMP2 (3920)"
"OMIM:113900","PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA","SCN5A (6331)"
"ORPHANET:182090","PULMONARY ARTERIAL HYPERTENSION",""
"ORPHANET:163703","FEBRILE INFECTION-RELATED EPILEPSY SYNDROME",""
"ORPHANET:1070","ANISAKIOSIS",""
"OMIM:605362","CARDIOMYOPATHY, DILATED, 1J","EYA4 (2070)"
"ORPHANET:60030","MOVED TO",""
"OMIM:604401","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 6",""
"OMIM:601214","NAXOS DISEASE","JUP (3728)"
"OMIM:600919","CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED","ANK2 (287)"
"ORPHANET:228410","POLYVALVULAR HEART DISEASE SYNDROME",""
"OMIM:201475","ACYL-COA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF","ACADVL (37)"
"OMIM:194200","WOLFF-PARKINSON-WHITE SYNDROME","PRKAG2 (51422)"
"ORPHANET:2073","NARCOLEPSY-CATAPLEXY",""
"OMIM:224700","EBSTEIN ANOMALY",""
"OMIM:255120","CARNITINE PALMITOYLTRANSFERASE I DEFICIENCY","CPT1A (1374)"
"ORPHANET:188","SYSTEMIC CAPILLARY LEAK SYNDROME",""
