"Gene","Associated diseases"
"SLC19A2 (10560)","THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA... (OMIM:249270)"
"GPD1L (23171)","BRUGADA SYNDROME 2 (OMIM:611777)"
"TGFB3 (7043)","LOEYS-DIETZ SYNDROME 5 (OMIM:615582), ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:107970)"
"GBA (2629)","GAUCHER DISEASE, TYPE II (OMIM:230900), GAUCHER DISEASE, TYPE IIIC (OMIM:231005), GAUCHER DISEASE, TYPE III (OMIM:231000), GAUCHER DISEASE, PERINATAL LETHAL (OMIM:608013), GAUCHER DISEASE, TYPE I (OMIM:230800)"
"SLC2A10 (81031)","ARTERIAL TORTUOSITY SYNDROME (OMIM:208050)"
"PKP2 (5318)","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:609040)"
"CACNA1C (775)","BRUGADA SYNDROME 3 (OMIM:611875), TIMOTHY SYNDROME (OMIM:601005)"
"KCNQ1 (3784)","SHORT QT SYNDROME 2 (OMIM:609621), LONG QT SYNDROME 1 (OMIM:192500), ATRIAL FIBRILLATION, FAMILIAL, 3 (OMIM:607554), JERVELL AND LANGE-NIELSEN SYNDROME (OMIM:220400)"
"KCNE2 (9992)","LONG QT SYNDROME 6 (OMIM:613693), ATRIAL FIBRILLATION, FAMILIAL, 4 (OMIM:611493)"
"AKT1 (207)","COLORECTAL CANCER (OMIM:114500), OVARIAN CANCEROVARIAN CANCER, EPITHELIAL... (OMIM:167000), BREAST CANCER (OMIM:114480), PROTEUS SYNDROME (OMIM:176920)"
"JUP (3728)","NAXOS DISEASE (OMIM:601214), ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:611528)"
"LAMP2 (3920)","DANON DISEASE (OMIM:300257)"
"LDB3 (11155)","CARDIOMYOPATHY, DILATED, 1C (OMIM:601493), MYOPATHY, MYOFIBRILLAR, 4 (OMIM:609452)"
"GNAI2 (2771)","VENTRICULAR TACHYCARDIA, FAMILIAL (OMIM:192605)"
"LCRB (387281)","BETA-THALASSEMIA (OMIM:613985)"
"TMEM43 (79188)","EMERY-DREIFUSS MUSCULAR DYSTROPHY 7, AUT... (OMIM:614302), ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:604400)"
"FGFR3 (2261)","CAMPTODACTYLY, TALL STATURE, AND HEARING... (OMIM:610474), BLADDER CANCER (OMIM:109800), LACRIMOAURICULODENTODIGITAL SYNDROME (OMIM:149730), HYPOCHONDROPLASIA (OMIM:146000), CROUZON SYNDROME WITH ACANTHOSIS NIGRICA... (OMIM:612247), ACHONDROPLASIA, SEVERE, WITH DEVELOPMENT... (OMIM:616482), COLORECTAL CANCER (OMIM:114500), NEVUS, KERATINOCYTIC, NONEPIDERMOLYTIC (OMIM:162900), TESTICULAR TUMORSTESTICULAR GERM CELL TU... (OMIM:273300), THANATOPHORIC DYSPLASIA, TYPE I (OMIM:187600), THANATOPHORIC DYSPLASIA, TYPE II (OMIM:187601), ACHONDROPLASIA (OMIM:100800), MUENKE SYNDROME (OMIM:602849), CERVICAL CANCER (OMIM:603956)"
"EYA4 (2070)","CARDIOMYOPATHY, DILATED, 1J (OMIM:605362), DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMI... (OMIM:601316)"
"EMD (2010)","EMERY-DREIFUSS MUSCULAR DYSTROPHY, X-LIN... (OMIM:310300)"
"TSPYL1 (7259)","SUDDEN INFANT DEATH WITH DYSGENESIS OF T... (OMIM:608800)"
"CPT1A (1374)","CARNITINE PALMITOYLTRANSFERASE I DEFICIE... (OMIM:255120)"
"PRKAG2 (51422)","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 6 (OMIM:600858), WOLFF-PARKINSON-WHITE SYNDROME (OMIM:194200), GLYCOGEN STORAGE DISEASE OF HEART, LETHA... (OMIM:261740)"
"ANK2 (287)","CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED (OMIM:600919)"
"LMNA (4000)","MUSCULAR DYSTROPHY, CONGENITAL, LMNA-REL... (OMIM:613205), HEART-HAND SYNDROME, SLOVENIAN TYPE (OMIM:610140), EMERY-DREIFUSS MUSCULAR DYSTROPHY 2, AUT... (OMIM:181350), CARDIOMYOPATHY, DILATED, 1A (OMIM:115200), RESTRICTIVE DERMOPATHY, LETHAL (OMIM:275210), HUTCHINSON-GILFORD PROGERIA SYNDROME (OMIM:176670), LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2 (OMIM:151660), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:605588), MANDIBULOACRAL DYSPLASIA WITH TYPE A LIP... (OMIM:248370), CARDIOMYOPATHY, DILATED, WITH HYPERGONAD... (OMIM:212112), MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B (OMIM:159001)"
"DSC2 (1824)","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:610476)"
"HBB (3043)","SICKLE CELL ANEMIA (OMIM:603903), HEINZ BODY ANEMIAS (OMIM:140700), HEMOGLOBIN--BETA LOCUS (OMIM:141900), BETA-THALASSEMIA (OMIM:613985), FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCU... (OMIM:141749), DOMINANT BETA-THALASSEMIA (OMIM:603902)"
"ACADVL (37)","ACYL-COA DEHYDROGENASE, VERY LONG-CHAIN,... (OMIM:201475)"
"DSG2 (1829)","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:610193), CARDIOMYOPATHY, DILATED, 1BB (OMIM:612877)"
"KIT (3815)","LEUKEMIA, ACUTE MYELOID (OMIM:601626), TESTICULAR TUMORSTESTICULAR GERM CELL TU... (OMIM:273300), GASTROINTESTINAL STROMAL TUMOR (OMIM:606764), MAST CELL DISEASE (OMIM:154800), PIEBALD TRAIT (OMIM:172800)"
"DSP (1832)","CARDIOMYOPATHY, DILATED, WITH WOOLLY HAI... (OMIM:605676), KERATOSIS PALMOPLANTARIS STRIATA II (OMIM:612908), SKIN FRAGILITY-WOOLLY HAIR SYNDROME (OMIM:607655), CARDIOMYOPATHY, DILATED, WITH WOOLLY HAI... (OMIM:615821), EPIDERMOLYSIS BULLOSA, LETHAL ACANTHOLYT... (OMIM:609638), ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:607450)"
"KCNE1 (3753)","LONG QT SYNDROME 5 (OMIM:613695), JERVELL AND LANGE-NIELSEN SYNDROME 2 (OMIM:612347)"
"ABCA12 (26154)","ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESS... (OMIM:242500), ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESS... (OMIM:601277)"
"DNAJC19 (131118)","3-@METHYLGLUTACONIC ACIDURIA, TYPE V (OMIM:610198)"
"KCNH2 (3757)","LONG QT SYNDROME 2 (OMIM:613688), SHORT QT SYNDROME 1 (OMIM:609620)"
"DTNA (1837)","LEFT VENTRICULAR NONCOMPACTION 1 (OMIM:604169)"
"GFAP (2670)","ALEXANDER DISEASE (OMIM:203450)"
"RBM20 (282996)","CARDIOMYOPATHY, DILATED, 1DD (OMIM:613172)"
"CSRP3 (8048)","CARDIOMYOPATHY, DILATED, 1M (OMIM:607482), CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1... (OMIM:612124)"
"SCN4B (6330)","LONG QT SYNDROME 10 (OMIM:611819)"
"SCN5A (6331)","VENTRICULAR FIBRILLATION DURING MYOCARDI... (OMIM:603829), SICK SINUS SYNDROME 1, AUTOSOMAL RECESSI... (OMIM:608567), ATRIAL FIBRILLATION, FAMILIAL, 10 (OMIM:614022), BRUGADA SYNDROME 1 (OMIM:601144), CARDIOMYOPATHY, DILATED, 1E (OMIM:601154), PROGRESSIVE FAMILIAL HEART BLOCK, TYPE I... (OMIM:113900), LONG QT SYNDROME 3 (OMIM:603830)"

