"Gene","Associated diseases"
"COL3A1 (1281)","EHLERS-DANLOS SYNDROME, TYPE IV, AUTOSOM... (OMIM:130050), EHLERS-DANLOS SYNDROME, TYPE III (OMIM:130020)"
"AIPL1 (23746)","LEBER CONGENITAL AMAUROSIS 4 (OMIM:604393)"
"PRDM5 (11107)","BRITTLE CORNEA SYNDROME 2 (OMIM:614170)"
"SLC2A10 (81031)","ARTERIAL TORTUOSITY SYNDROME (OMIM:208050)"
"PLOD1 (5351)","EHLERS-DANLOS SYNDROME, TYPE VI (OMIM:225400)"
"RPGRIP1 (57096)","LEBER CONGENITAL AMAUROSIS 6 (OMIM:613826), CONE-ROD DYSTROPHY 13 (OMIM:608194)"
"ANTXR1 (84168)","GAPO SYNDROME (OMIM:230740)"
"RPE65 (6121)","LEBER CONGENITAL AMAUROSIS, TYPE II (OMIM:204100), RETINITIS PIGMENTOSA 20 (OMIM:613794)"
"LMX1B (4010)","NAIL-PATELLA SYNDROME (OMIM:161200)"
"ZNF469 (84627)","BRITTLE CORNEA SYNDROME (OMIM:229200)"
"PIEZO2 (63895)","MARDEN-WALKER SYNDROME (OMIM:248700), ARTHROGRYPOSIS, DISTAL, TYPE 3 (OMIM:114300), ARTHROGRYPOSIS, DISTAL, TYPE 5 (OMIM:108145)"
"GUCY2D (3000)","CONE-ROD DYSTROPHY 6 (OMIM:601777), LEBER CONGENITAL AMAUROSIS, TYPE I (OMIM:204000)"
"CRB1 (23418)","LEBER CONGENITAL AMAUROSIS 8 (OMIM:613835), RETINITIS PIGMENTOSA 12 (OMIM:600105), PIGMENTED PARAVENOUS CHORIORETINAL ATROP... (OMIM:172870)"
"VSX1 (30813)","CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOU... (OMIM:122000), CRANIOFACIAL ANOMALIES AND ANTERIOR SEGM... (OMIM:614195), KERATOCONUS 1 (OMIM:148300)"
"CRX (1406)","LEBER CONGENITAL AMAUROSIS 7 (OMIM:613829), CONE-ROD DYSTROPHY 2 (OMIM:120970)"

